Type,Function,Mode,Series,X,Time_ns
u32,amartin,bylength,,1,0.741530
u32,branchlut,bylength,,1,1.069452
u32,branchlut2,bylength,,1,0.800227
u32,countlut,bylength,,1,1.058801
u32,fmt,bylength,,1,0.932301
u32,jeaiii,bylength,,1,0.744315
u32,naive,bylength,,1,1.797837
u32,null,bylength,,1,0.756547
u32,sse2,bylength,,1,1.153539
u32,tmueller,bylength,,1,0.744014
u32,unrolledlut,bylength,,1,1.225591
u32,yy,bylength,,1,1.083994
u32,zmij_scalar,bylength,,1,2.144666
u32,zmij_x64_native,bylength,,1,1.188789
u32,zmij_x64_v1,bylength,,1,1.792130
u32,zmij_x64_v2,bylength,,1,1.279172
u32,zmij_x64_v3,bylength,,1,1.201614
u32,zmij_x64_v4,bylength,,1,1.223829
u32,amartin,bylength,,2,0.768288
u32,branchlut,bylength,,2,1.105791
u32,branchlut2,bylength,,2,1.023472
u32,countlut,bylength,,2,1.069736
u32,fmt,bylength,,2,0.929178
u32,jeaiii,bylength,,2,0.753927
u32,naive,bylength,,2,2.180439
u32,null,bylength,,2,0.754304
u32,sse2,bylength,,2,1.175398
u32,tmueller,bylength,,2,1.339797
u32,unrolledlut,bylength,,2,1.113342
u32,yy,bylength,,2,1.088213
u32,zmij_scalar,bylength,,2,2.155711
u32,zmij_x64_native,bylength,,2,1.190086
u32,zmij_x64_v1,bylength,,2,1.789140
u32,zmij_x64_v2,bylength,,2,1.277899
u32,zmij_x64_v3,bylength,,2,1.221767
u32,zmij_x64_v4,bylength,,2,1.208061
u32,amartin,bylength,,3,0.931230
u32,branchlut,bylength,,3,1.198826
u32,branchlut2,bylength,,3,1.159984
u32,countlut,bylength,,3,1.263741
u32,fmt,bylength,,3,1.300255
u32,jeaiii,bylength,,3,1.028591
u32,naive,bylength,,3,2.662310
u32,null,bylength,,3,0.872686
u32,sse2,bylength,,3,1.280013
u32,tmueller,bylength,,3,1.333482
u32,unrolledlut,bylength,,3,1.494797
u32,yy,bylength,,3,1.192200
u32,zmij_scalar,bylength,,3,2.147100
u32,zmij_x64_native,bylength,,3,1.201499
u32,zmij_x64_v1,bylength,,3,1.781868
u32,zmij_x64_v2,bylength,,3,1.295196
u32,zmij_x64_v3,bylength,,3,1.249452
u32,zmij_x64_v4,bylength,,3,1.217446
u32,amartin,bylength,,4,0.933323
u32,branchlut,bylength,,4,1.320432
u32,branchlut2,bylength,,4,1.296201
u32,countlut,bylength,,4,1.366116
u32,fmt,bylength,,4,1.269173
u32,jeaiii,bylength,,4,1.289881
u32,naive,bylength,,4,3.480882
u32,null,bylength,,4,0.803318
u32,sse2,bylength,,4,1.306630
u32,tmueller,bylength,,4,0.994378
u32,unrolledlut,bylength,,4,1.448574
u32,yy,bylength,,4,1.190609
u32,zmij_scalar,bylength,,4,2.178292
u32,zmij_x64_native,bylength,,4,1.208737
u32,zmij_x64_v1,bylength,,4,1.814706
u32,zmij_x64_v2,bylength,,4,1.301698
u32,zmij_x64_v3,bylength,,4,1.217733
u32,zmij_x64_v4,bylength,,4,1.233281
u32,amartin,bylength,,5,1.316646
u32,branchlut,bylength,,5,1.834293
u32,branchlut2,bylength,,5,1.268798
u32,countlut,bylength,,5,1.678400
u32,fmt,bylength,,5,1.789634
u32,jeaiii,bylength,,5,1.306447
u32,naive,bylength,,5,4.200498
u32,null,bylength,,5,0.776073
u32,sse2,bylength,,5,1.783994
u32,tmueller,bylength,,5,0.978127
u32,unrolledlut,bylength,,5,1.635446
u32,yy,bylength,,5,1.452052
u32,zmij_scalar,bylength,,5,2.143983
u32,zmij_x64_native,bylength,,5,1.204858
u32,zmij_x64_v1,bylength,,5,1.789226
u32,zmij_x64_v2,bylength,,5,1.286064
u32,zmij_x64_v3,bylength,,5,1.216402
u32,zmij_x64_v4,bylength,,5,1.207423
u32,amartin,bylength,,6,1.335854
u32,branchlut,bylength,,6,2.003902
u32,branchlut2,bylength,,6,1.274586
u32,countlut,bylength,,6,1.808349
u32,fmt,bylength,,6,1.800937
u32,jeaiii,bylength,,6,1.216940
u32,naive,bylength,,6,5.057218
u32,null,bylength,,6,0.766532
u32,sse2,bylength,,6,1.949008
u32,tmueller,bylength,,6,1.385534
u32,unrolledlut,bylength,,6,1.488556
u32,yy,bylength,,6,1.471828
u32,zmij_scalar,bylength,,6,2.182534
u32,zmij_x64_native,bylength,,6,1.201203
u32,zmij_x64_v1,bylength,,6,1.816578
u32,zmij_x64_v2,bylength,,6,1.286472
u32,zmij_x64_v3,bylength,,6,1.233066
u32,zmij_x64_v4,bylength,,6,1.235005
u32,amartin,bylength,,7,1.832812
u32,branchlut,bylength,,7,2.068958
u32,branchlut2,bylength,,7,1.794399
u32,countlut,bylength,,7,2.138386
u32,fmt,bylength,,7,2.330824
u32,jeaiii,bylength,,7,1.308735
u32,naive,bylength,,7,5.807562
u32,null,bylength,,7,0.746713
u32,sse2,bylength,,7,2.024713
u32,tmueller,bylength,,7,1.387120
u32,unrolledlut,bylength,,7,1.433745
u32,yy,bylength,,7,1.654099
u32,zmij_scalar,bylength,,7,2.173559
u32,zmij_x64_native,bylength,,7,1.199184
u32,zmij_x64_v1,bylength,,7,1.803644
u32,zmij_x64_v2,bylength,,7,1.288677
u32,zmij_x64_v3,bylength,,7,1.226165
u32,zmij_x64_v4,bylength,,7,1.239795
u32,amartin,bylength,,8,1.806059
u32,branchlut,bylength,,8,2.128422
u32,branchlut2,bylength,,8,1.816684
u32,countlut,bylength,,8,2.191561
u32,fmt,bylength,,8,2.245294
u32,jeaiii,bylength,,8,1.516998
u32,naive,bylength,,8,5.800415
u32,null,bylength,,8,0.746166
u32,sse2,bylength,,8,2.110725
u32,tmueller,bylength,,8,1.863550
u32,unrolledlut,bylength,,8,1.403103
u32,yy,bylength,,8,1.640278
u32,zmij_scalar,bylength,,8,2.157997
u32,zmij_x64_native,bylength,,8,1.205173
u32,zmij_x64_v1,bylength,,8,1.793000
u32,zmij_x64_v2,bylength,,8,1.278785
u32,zmij_x64_v3,bylength,,8,1.205720
u32,zmij_x64_v4,bylength,,8,1.228699
u32,amartin,bylength,,9,2.132099
u32,branchlut,bylength,,9,1.916543
u32,branchlut2,bylength,,9,1.916696
u32,countlut,bylength,,9,2.560198
u32,fmt,bylength,,9,2.774266
u32,jeaiii,bylength,,9,1.539222
u32,naive,bylength,,9,6.606291
u32,null,bylength,,9,0.744690
u32,sse2,bylength,,9,1.433310
u32,tmueller,bylength,,9,1.846150
u32,unrolledlut,bylength,,9,1.851217
u32,yy,bylength,,9,1.985908
u32,zmij_scalar,bylength,,9,2.184650
u32,zmij_x64_native,bylength,,9,1.190554
u32,zmij_x64_v1,bylength,,9,1.803842
u32,zmij_x64_v2,bylength,,9,1.293418
u32,zmij_x64_v3,bylength,,9,1.231561
u32,zmij_x64_v4,bylength,,9,1.226217
u32,amartin,bylength,,10,2.138572
u32,branchlut,bylength,,10,2.019287
u32,branchlut2,bylength,,10,1.939369
u32,countlut,bylength,,10,2.745434
